https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G294.40-19.40|09 42 43.23|-78 59 46.3|  16.309999|         2.200000|            |            |          |          |
|PGCC G315.22-29.12|19 44 34.54|-78 59 12.2|           |                 |            |            |          |          |
|PGCC G314.01-22.59|17 23 51.86|-78 58 35.3|           |                 |            |            |          |          |
|PGCC G315.13-29.77|19 58 16.44|-78 57 24.4|  16.061001|         2.653000|            |            |          |          |
|PGCC G295.32-36.10|03 07 02.59|-78 56 29.3|  16.698000|         1.269000|            |            |          |          |
|PGCC G301.15-16.18|12 15 37.05|-78 55 35.7|  12.802000|         3.084000|6.288090e-01|4.710260e-01|  0.313572|  0.030784|
|PGCC G300.97-16.19|12 12 06.94|-78 54 53.3|  13.806000|         2.887000|5.662960e-01|3.720600e-01|  0.335704|  0.034619|
|PGCC G303.10-16.03|12 54 49.99|-78 53 47.2|  11.890000|         0.522000|5.926710e+00|1.436710e+00|  0.317457|  0.028531|
|PGCC G313.98-22.30|17 18 07.64|-78 52 11.3|  12.379000|         1.157000|            |            |          |          |
|PGCC G303.35-15.98|12 59 40.22|-78 50 41.8|  12.578000|         1.987000|9.362190e-01|5.234970e-01|  0.314170|  0.029565|
|PGCC G315.70-21.64|17 21 26.18|-77 08 59.4|           |                 |            |            |          |          |
|PGCC G302.60-15.94|12 44 55.09|-78 48 35.9|  12.193000|         0.786000|            |            |          |          |
|PGCC G295.22-36.23|03 06 45.90|-78 47 01.0|  16.139000|         4.283000|            |            |          |          |
|PGCC G293.91-19.51|09 34 22.74|-78 44 59.5|  13.979000|         2.607000|            |            |          |          |
|PGCC G315.47-29.43|19 50 14.70|-78 43 32.4|  13.561000|         1.608000|            |            |          |          |
|PGCC G315.42-29.84|19 58 45.15|-78 42 14.5|  16.076000|         1.617000|            |            |          |          |
|PGCC G303.30-15.81|12 58 34.52|-78 40 35.8|           |                 |5.348390e-01|4.137650e-01|  0.343878|  0.033292|
|PGCC G295.49-36.54|02 59 22.64|-78 39 58.2|  15.785000|         2.519000|            |            |          |          |
|PGCC G314.22-22.28|17 20 02.43|-78 39 49.3|  13.641000|         0.580000|            |            |          |          |
|PGCC G300.86-15.91|12 10 52.86|-78 36 50.9|  13.472000|         0.948000|1.009540e+00|2.964450e-01|  0.323275|  0.034850|
|PGCC G315.76-27.49|19 10 35.24|-78 36 07.2|  11.545000|         0.764000|            |            |          |          |
|PGCC G301.04-15.83|12 14 33.24|-78 34 03.5|  12.220000|         0.727000|            |            |          |          |
|PGCC G290.25-29.68|05 48 01.27|-78 33 45.7|           |                 |            |            |          |          |
|PGCC G294.57-36.14|03 16 07.02|-78 31 34.5|  16.625999|         2.690000|            |            |          |          |
|PGCC G294.83-36.34|03 10 18.08|-78 30 22.9|  16.055000|         3.058000|            |            |          |          |
|PGCC G294.19-18.90|09 46 44.64|-78 29 58.6|  16.368000|         1.677000|            |            |          |          |
|PGCC G297.21-16.91|10 57 14.48|-78 29 18.2|  12.700000|         1.982000|1.747340e+00|9.343160e-01|  0.419173|  0.039336|
|PGCC G295.68-17.70|10 23 53.53|-78 26 28.3|  17.587000|         4.406000|2.046490e-01|1.291070e-01|  0.417206|  0.039285|
|PGCC G295.88-17.57|10 28 25.74|-78 26 11.5|  18.285000|         2.383000|1.326520e-01|5.044120e-02|  0.299572|  0.036190|
|PGCC G297.97-16.49|11 13 55.04|-78 24 42.6|           |                 |            |            |          |          |
|PGCC G315.99-28.31|19 26 50.89|-78 23 19.4|  14.476000|         1.182000|            |            |          |          |
|PGCC G315.96-28.62|19 33 05.67|-78 23 19.4|  11.279000|         1.624000|            |            |          |          |
